question,level,btl,source
Write the physical meaning of Lewis number.,easy,2,srm
"Compare the efficiency of different fluid power systems (e.g., hydraulic systems, pneumatic systems, electro-hydraulic systems) in transmitting and controlling mechanical power.",medium,4,devane
quality issues and propose a model that predicts and minimizes their impact on overall system performance. 4.,hard,6,srm
Devise a method for enhancing the safety of autonomous vehicles through advanced sensor fusion techniques and real-time hazard detection algorithms.,hard,6,devane
Explain how vulnerability scanners help in securing 16,hard,5,srm
Compute GCD of 1970 and 1066 using Euclid algorithm.,easy,2,srm
Write the equation of Template Update scheme in a Homogeneous,easy,2,srm
Compare end fire and broad side array.,easy,2,srm
What would be produced by a DAC whose output range is 0-10v,easy,1,srm
Describe the significance of a soil nailing system in slope stabilization?,easy,1,devane
Explain the economic and moral rights of copyright owners.,medium,3,srm
over steam heating. 17 Define cooling tower.,easy,1,srm
What is register renaming?,easy,1,devane
Discuss the benefits and challenges of adopting a customer-focused approach in ISO 9000 standards.,medium,4,srm
Explain in detail the different methods of object detection with,medium,4,srm
Information technology can be expensive. Identify and explain FIVE (5) factors that put upward pressure on internet pricing for online retailer.,easy,2,devane
regions covered by it. 14. What is the dilution of precision in GPS?,easy,2,srm
"Examine the transducer power gain, unilateral power gain,",medium,4,srm
What is accuracy in measurement? 1,easy,1,srm
Define Software Process Assessment and list its key phases.,easy,1,srm
outer conductor b and outer radius c carries a current I at inner conductor and I in the outer conductor.,medium,3,srm
What does key value pair refer to?,easy,1,srm
What is the use of client-side scripting?,easy,2,srm
Illustrate how to choose an agile regression testing strategy and when to,medium,3,srm
converter.(16) 3. Describe about the R-2R ladder DAC with necessary,medium,4,srm
Level 1. Define multiuser detection (MUD).,easy,1,srm
How does virtualization enable resource isolation?,easy,2,srm
"Define the term ""database.""?",easy,1,srm
What is the main idea of frequency independent antenna?,easy,2,srm
Differentiate the buyer decision process from the business buyer model.,easy,2,srm
What is the use of seaborn?,easy,2,srm
Summarize the significance of the node-level simulator.,easy,2,srm
"Design a new sustainable urban drainage system that incorporates decentralized rainwater harvesting, permeable pavement, and green roofs to mitigate urban flooding and improve water quality.",hard,6,devane
Compare the self inductance and mutual inductance. 3,easy,2,srm
Name any two types of thermal analyzers and their applications.,easy,1,srm
What conclusion can be provided when there is a row of all zeros in Routh array? CO 4,easy,2,srm
State various obstacles in setting out curves.,easy,1,devane
Brief the features of MAC unit. CO 6,easy,1,srm
List different organs present in the alimentary canal.,medium,3,srm
output? 18. List out the problems involved in grid connection.,easy,1,srm
Draw & explain the working principle of bimetallic thermometer. List one advantage & disadvantage with two application.,easy,1,devane
State the function of a metadata repository in data warehousing.,easy,2,srm
Demonstrate IP packet forwarding in Mobile IP.,easy,2,srm
How does the cloud model support rapid elasticity?,easy,2,srm
Differentiate strict two-phase locking protocol and rigorous two-,easy,2,srm
i. Deduce the principle of pollution monitoring (10) instruments used for monitoring automobile exhaust gases.,medium,4,srm
What is Copy-on-Write (COW) in operating systems?,easy,1,srm
Explain round robin schedulingalgorithms with an example,medium,4,srm
Explain Hypermedia linking and Embedding,hard,6,srm
Define magnetic flux density.,easy,1,srm
What is sensible heat storage?,easy,1,srm
dependencies? 6. What is meant by trivial functional dependency?,easy,1,srm
Define Mobile IPv6 bootstrapping.,easy,2,srm
Discuss in detail about check list and Run charts.,hard,6,srm
Name the modes of timer in 8051.,easy,1,srm
bound algorithm W= 15. 13. Consider the travelling salesperson instances defined by the 16,hard,5,srm
What is the operation of RS flip-flop?,easy,1,srm
Find the core functions of Home Location Register (HLR).,easy,1,srm
State the expression for capacitance when thickness is known.,easy,1,srm
Discuss machine translation systems in detail and compare rule-based and,medium,3,srm
Define instruction execution in the context of a processor.,easy,1,srm
